Branch,Opening_Rank,Closing_Rank,Category,Main_Category,Quota,Gender,Year,Source_File
MECH,198582.0,493461.0,ST/X/OP,ST,X,OP,2021,2021_round1.pdf
MECH,400434.0,503532.0,ST/X/F,ST,X,F,2021,2021_round1.pdf
CE,370829.0,469224.0,FW/OP,FW,OP,,2021,2021_round1.pdf
CE,605042.0,605042.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
CE,426557.0,763980.0,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
CSE,368511.0,738237.0,FW/OP,FW,OP,,2021,2021_round1.pdf
CSE,742156.0,742156.0,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
CSE,351614.0,769516.0,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
MECH,521150.0,521150.0,FW/OP,FW,OP,,2021,2021_round1.pdf
MECH,736563.0,772235.0,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
CSE,478857.0,681018.0,FW/OP,FW,OP,,2021,2021_round1.pdf
